"","latitude","longitude","parameter_name","method_name","year","arithmetic_mean","arithmetic_standard_dev","state_name"
"1",32.727273,-117.154477,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,20435.528121,8998.244145,"California"
"2",36.725228,-119.751254,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,17617.54386,15073.313292,"California"
"3",33.92899,-118.21071,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,3443.691703,1858.001508,"California"
"4",34.280401,-119.314557,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,2560.900096,1264.961579,"California"
"5",34.924423,-120.401828,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,2237.532224,666.19222,"California"
"6",37.339666,-121.888575,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,2196.192478,522.501047,"California"
"7",37.949924,-122.357193,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,2191.631222,389.797271,"California"
"8",37.535833,-121.961823,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,2085.676454,441.579979,"California"
"9",35.283864,-120.655171,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,2079.719073,289.351317,"California"
"10",37.6849,-121.7659,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,2072.540435,360.767519,"California"
"11",37.936013,-122.026154,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,2068.593404,320.842772,"California"
"12",38.443503,-122.710169,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,2009.090909,328.797631,"California"
"13",34.725538,-120.428774,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,1980.482647,971.019972,"California"
"14",34.511652,-120.499887,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,1765.210106,108.53734,"California"
"15",35.374959,-119.022602,"Total NMOC (non-methane organic compound)","6L SS CANISTER-PRESSURIZED - CRYOGENIC PRECON FLAME IONI(PDFID)",1987,1673.846154,474.298754,"California"
"16",34.452209,-120.421549,"Total hydrocarbons","INSTRUMENTAL - FLAME IONIZATION",1987,1591.962002,115.545358,"California"
"17",35.374959,-119.022602,"Total NMOC (non-methane organic compound)","6L SS CANISTER-PRESSURIZED - CRYOGENIC PRECON FLAME IONI(PDFID)",1987,1584.5,525.846936,"California"
"18",40.549985,-122.382011,"Elapsed Sample Time","R & P Model 2000 PM-2.5 FEM Air Sampler - Calculation",2017,1440,0,"California"
"19",38.613779,-121.368014,"Elapsed Sample Time","R - P Co Partisol Model 2025 - Calculation",2017,1439.866667,0.345746,"California"
"20",37.308537,-120.480993,"Elapsed Sample Time","R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Calculation",2017,1439.571429,0.513553,"California"
"21",39.81336,-120.47069,"Elapsed Sample Time","R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Calculation",2017,1439.555556,1.013794,"California"
"22",32.676186,-115.484144,"Elapsed Sample Time","R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Calculation",2017,1439.214286,1.133893,"California"
"23",29.686389,-95.294722,"Barometric pressure","INSTRUMENTAL - ANEROID",2017,1016.841727,4.283823,"Texas"
"24",35.503587,-119.272606,"Barometric pressure","INSTRUMENTAL - BAROMETRIC SENSOR",2017,1005.705185,5.880475,"California"
"25",32.845467,-117.123894,"Barometric pressure","INSTRUMENTAL - BAROMETRIC SENSOR",2017,999.890607,5.09947,"California"
"26",42.302786,-83.10653,"Barometric pressure","INSTRUMENTAL - ANEROID",2017,997.041667,3.168859,"Michigan"
"27",43.047224,-83.670159,"Barometric pressure","INSTRUMENTAL - ANEROID",2017,994.583333,3.488075,"Michigan"
"28",42.953336,-82.456229,"Barometric pressure","INSTRUMENTAL - ANEROID",2017,994.333333,3.69096,"Michigan"
